"","callPrice","putPrice","BSMcall","BSMput","strike","expiryDate","X","callD","putD","leftside","rightside","parity","PdiffParity"
"2276",1133.75,24.6,1108.86594824435,0,2125,2021-06-18,4519,24.8840517556487,24.6,3145.70719341131,3108.58205987985,37.1251335314582,0.0118018401741958
"2277",1111.05,26.15,1084.52822077054,0,2150,2021-06-18,4520,26.521779229455,26.15,3146.67727803968,3110.13205987985,36.5452181598262,0.0116139072840012
"2278",1088.45,27.85,1060.19049329674,0,2175,2021-06-18,4521,28.2595067032619,27.85,3147.74736266804,3111.83205987985,35.9153027881948,0.0114098428654556
"2279",1065.9,29.75,1035.85276582293,0,2200,2021-06-18,4522,30.0472341770683,29.75,3148.86744729641,3113.73205987985,35.1353874165629,0.0111581030337526
"2280",1043.5,31.65,1011.51503834913,0,2225,2021-06-18,4523,31.9849616508745,31.65,3150.13753192478,3115.63205987985,34.5054720449311,0.010953639863415
"2281",1019.95,33.65,987.177310875319,0,2250,2021-06-18,4524,32.7726891246808,33.65,3150.25761655315,3117.63205987985,32.6255566732993,0.0103564725950878
"2282",998.85,35.75,962.839583401513,0,2275,2021-06-18,4525,36.0104165984872,35.75,3152.82770118152,3119.73205987985,33.0956413016679,0.0104971297001943
"2283",976.75,37.95,938.501855927706,0,2300,2021-06-18,4526,38.2481440722936,37.95,3154.39778580989,3121.93205987985,32.4657259300366,0.0102922104739244
"2284",954.7,40.35,914.1641284539,0,2325,2021-06-18,4527,40.5358715461,40.35,3156.01787043825,3124.33205987985,31.6858105584042,0.0100398070794207
"2285",932.8,42.75,889.826400980094,0,2350,2021-06-18,4528,42.9735990199063,42.75,3157.78795506662,3126.73205987985,31.0558951867729,0.00983469936192016
"2286",910.95,45.25,865.488673506287,0,2375,2021-06-18,4529,45.4613264937127,45.25,3159.60803969499,3129.23205987985,30.3759798151409,0.00961384432294115
"2287",889.25,47.95,841.150946032481,0,2400,2021-06-18,4530,48.099053967519,47.95,3161.57812432336,3131.93205987985,29.6460644435097,0.00937698303749951
"2288",867.65,50.7,816.813218558674,0,2425,2021-06-18,4531,50.8367814413258,50.7,3163.64820895173,3134.68205987985,28.9661490718781,0.00915593237892782
"2289",846.25,53.6,792.475491084868,0,2450,2021-06-18,4532,53.7745089151322,53.6,3165.9182935801,3137.58205987985,28.3362337002463,0.0089503995594918
"2290",824.95,56.6,768.137763611061,0,2475,2021-06-18,4533,56.8122363889386,56.6,3168.28837820846,3140.58205987985,27.7063183286145,0.00874488525702995
"2291",803.75,59.7,743.800036137255,8.82974649642303e-287,2500,2021-06-18,4534,59.9499638627449,59.7,3170.75846283683,3143.68205987985,27.0764029569832,0.00853940887466979
"2292",782.65,63,719.462308663449,8.52272114902611e-266,2525,2021-06-18,4535,63.1876913365512,63,3173.3285474652,3146.98205987985,26.346487585351,0.0083024770966108
"2293",761.65,66.3,695.124581189642,8.37187937409357e-246,2550,2021-06-18,4536,66.5254188103576,66.3,3175.99863209357,3150.28205987985,25.7165722137192,0.0080971609854779
"2294",740.75,69.85,670.786853715836,8.90584488361824e-227,2575,2021-06-18,4537,69.9631462841639,69.85,3178.76871672194,3153.83205987985,24.9366568420878,0.00784475344522813
"2295",720,73.55,646.44912624203,1.08942846451596e-208,2600,2021-06-18,4538,73.5508737579703,73.55,3181.68880135031,3157.53205987985,24.1567414704559,0.00759242747442925
